# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
windpipe-shekzeer	2026-09-11 14:27:25	2502	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
wodarmsopx-shekzeer	2026-09-11 14:27:26	2505	399,400,401,402,403,1159,1174,2090,2092,2093
wølfgunxz-everlook	2026-09-11 14:27:25	2514	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
worstpräst-shekzeer	2026-09-11 14:27:26	2486	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
wwtutweh-shekzeer	2026-09-11 14:27:32	2387	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
xuen-everlook	2026-09-11 14:27:24	2565	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
ydé-shekzeer	2026-09-11 14:27:26	2501	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
yey-shekzeer	2026-09-11 14:27:25	2549	399,400,401,402,403,406,1159,1174,2090,2091,2092,2093,5266
yony-shekzeer	2026-09-11 14:27:32	2406	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
yry-shekzeer	2026-09-11 14:27:32	2415	399,400,401,402,403,406,1159,1174,2090,2091,2092,2093,5266
yusuf-shekzeer	2026-09-11 14:27:24	2551	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
yuy-shekzeer	2026-09-11 14:27:26	2483	399,400,401,402,403,406,1159,1174,2090,2091,2092,2093,5266
